file_name,vuln_name,model,prompt_type
iter1 - GPT4_prompt_10_EthLocker_slither_report_1.txt,dangerous-strict-equalities,GPT-4.1
iter1 - GPT4_prompt_10_EthLocker_slither_report_1.txt,block-timestamp,GPT-4.1
iter1 - GPT4_prompt_10_EthLocker_slither_report_1.txt,incorrect-versions-of-solidity,GPT-4.1
iter1 - GPT4_prompt_10_EthLocker_slither_report_1.txt,reentrancy-vulnerabilities-4,GPT-4.1
iter1 - GPT4_prompt_10_EthLocker_slither_report_1.txt,state-variables-that-could-be-declared-constant,GPT-4.1
iter1 - GPT4_prompt_11_Subscription_slither_report_1.txt,block-timestamp,GPT-4.1
iter1 - GPT4_prompt_11_Subscription_slither_report_1.txt,incorrect-versions-of-solidity,GPT-4.1
iter1 - GPT4_prompt_11_Subscription_slither_report_1.txt,conformance-to-solidity-naming-conventions,GPT-4.1
iter1 - GPT4_prompt_11_Subscription_slither_report_1.txt,state-variables-that-could-be-declared-immutable,GPT-4.1
iter1 - GPT4_prompt_12_Feedback_slither_report_1.txt,incorrect-versions-of-solidity,GPT-4.1
iter1 - GPT4_prompt_13_CharityDonation_slither_report_1.txt,contracts-that-lock-ether,GPT-4.1
iter1 - GPT4_prompt_13_CharityDonation_slither_report_1.txt,block-timestamp,GPT-4.1
iter1 - GPT4_prompt_13_CharityDonation_slither_report_1.txt,incorrect-versions-of-solidity,GPT-4.1
iter1 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt,reentrancy-vulnerabilities-3,GPT-4.1
iter1 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt,block-timestamp,GPT-4.1
iter1 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt,incorrect-versions-of-solidity,GPT-4.1
iter1 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt,state-variables-that-could-be-declared-immutable,GPT-4.1
iter1 - GPT4_prompt_15_EthDistributor_slither_report_1.txt,calls-inside-a-loop,GPT-4.1
iter1 - GPT4_prompt_15_EthDistributor_slither_report_1.txt,incorrect-versions-of-solidity,GPT-4.1
iter1 - GPT4_prompt_15_EthDistributor_slither_report_1.txt,reentrancy-vulnerabilities-4,GPT-4.1
iter1 - GPT4_prompt_15_EthDistributor_slither_report_1.txt,state-variables-that-could-be-declared-immutable,GPT-4.1
iter1 - GPT4_prompt_16_Escrow_slither_report_1.txt,missing-zero-address-validation,GPT-4.1
iter1 - GPT4_prompt_16_Escrow_slither_report_1.txt,incorrect-versions-of-solidity,GPT-4.1
iter1 - GPT4_prompt_16_Escrow_slither_report_1.txt,reentrancy-vulnerabilities-4,GPT-4.1
